Iteration,Before Expand,After Expand,After Bound,Solutions
1,1,5,4,0
2,4,20,6,0
3,6,30,4,0
4,4,20,2,0
5,2,10,0,0

1,1,20,6,0
2,6,120,10,0
3,10,200,4,0
4,4,80,2,0
5,2,40,0,0


